PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2010,14.59,15.44,15.44,18.13,19.47,19.71,18.8,19.23,19.04,17.52,15.44,13.79,17.21
QV2M,2011,12.27,13.61,13.61,16.36,18.19,19.23,18.31,18.43,19.04,17.64,16.24,12.94,16.36
QV2M,2012,13.79,14.34,15.75,17.94,19.41,19.04,18.62,18.37,18.8,17.21,17.7,15.32,17.21
QV2M,2013,13.31,15.14,16.36,17.33,18.37,17.76,18.55,17.94,18.8,16.78,16.48,11.9,16.54
QV2M,2014,11.72,13.12,15.87,17.94,18.86,18.74,19.41,18.55,18.49,17.09,16.78,13.79,16.72
QV2M,2015,12.15,13.98,16.24,16.91,19.47,18.68,17.94,18.55,19.04,17.33,17.46,15.26,16.91
QV2M,2016,14.83,12.02,14.53,16.91,18.74,18.92,18.62,19.17,19.47,18.92,17.27,15.2,17.09
QV2M,2017,14.53,13.49,16.05,17.7,19.59,19.78,19.59,19.9,19.59,17.76,17.15,13.73,17.46
QV2M,2018,13.92,12.82,15.08,16.91,19.23,19.29,19.35,19.04,19.1,17.21,16.54,15.69,17.03
QV2M,2019,14.1,15.75,17.15,19.29,20.14,20.32,19.35,19.23,18.55,17.82,15.87,13.61,17.58
QV2M,2020,13.79,13.85,17.15,17.21,19.78,19.41,19.04,19.41,19.23,18.74,16.36,13.79,17.33
WS2M,2010,2.76,2.27,2.68,2.24,1.87,1.66,1.82,2.02,1.79,3.3,3.63,2.91,2.41
WS2M,2011,3.58,2.59,3.22,2.4,1.88,2.01,2.29,2.13,2.64,3.12,3.17,3.63,2.73
WS2M,2012,2.95,2.48,2.45,1.72,1.61,2.8,2.41,2.45,2.33,2.84,2.74,3.09,2.49
WS2M,2013,3.0,2.71,2.33,2.35,1.89,2.34,1.88,2.73,2.55,3.24,3.49,2.96,2.62
WS2M,2014,2.84,2.62,2.18,1.95,1.8,1.95,1.98,2.24,1.98,2.55,2.95,3.45,2.38
WS2M,2015,2.85,2.44,2.44,2.38,1.76,2.15,2.24,1.76,2.15,2.25,3.11,3.2,2.39
WS2M,2016,2.69,3.16,2.49,1.95,1.88,1.98,1.91,2.65,2.28,2.59,3.35,3.34,2.52
WS2M,2017,2.94,2.7,2.34,2.23,2.05,2.08,1.99,1.95,1.98,2.84,3.59,3.45,2.51
WS2M,2018,2.93,2.54,2.46,2.27,1.49,2.31,2.48,3.0,1.89,2.7,2.91,3.28,2.52
WS2M,2019,2.88,2.26,2.07,1.78,1.52,1.76,2.47,2.72,2.3,3.04,3.3,2.99,2.43
WS2M,2020,3.05,2.87,2.29,2.57,1.59,1.68,1.74,1.85,1.96,4.14,3.72,3.32,2.56
ALLSKY_SFC_SW_DWN,2010,11.04,15.09,16.02,16.5,20.14,20.79,19.83,17.17,17.98,10.92,8.29,11.08,15.4
ALLSKY_SFC_SW_DWN,2011,5.86,13.24,10.6,16.08,19.71,18.91,19.19,18.63,12.96,10.52,10.78,4.98,13.45
ALLSKY_SFC_SW_DWN,2012,8.03,11.91,14.16,17.6,20.11,17.5,19.46,18.31,15.22,14.86,13.08,10.94,15.11
ALLSKY_SFC_SW_DWN,2013,10.26,15.09,15.86,16.47,20.12,19.17,17.77,16.84,14.11,11.61,9.14,6.4,14.39
ALLSKY_SFC_SW_DWN,2014,11.52,14.71,14.94,18.9,21.24,18.74,19.31,18.5,18.61,13.68,12.77,6.33,15.76
ALLSKY_SFC_SW_DWN,2015,12.15,14.47,17.42,18.56,21.62,21.04,14.81,20.66,18.76,15.25,13.77,9.94,16.54
ALLSKY_SFC_SW_DWN,2016,8.86,10.42,14.36,17.99,19.15,20.32,20.6,18.61,16.05,13.41,9.82,5.7,14.62
ALLSKY_SFC_SW_DWN,2017,10.5,12.32,15.74,17.01,16.82,20.43,16.78,19.28,19.16,11.03,7.88,6.57,14.46
ALLSKY_SFC_SW_DWN,2018,8.94,12.16,15.21,17.57,21.68,17.26,15.63,16.83,19.07,16.66,12.62,9.15,15.24
ALLSKY_SFC_SW_DWN,2019,10.16,17.83,16.24,20.48,19.27,21.86,18.73,16.49,15.01,16.94,11.38,11.12,16.27
ALLSKY_SFC_SW_DWN,2020,14.11,16.48,17.33,13.73,21.25,21.1,22.34,18.75,19.39,8.26,9.11,6.28,15.67